time_index,time_since_epoch_ns,gs_handover_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate
1,300000000000,1.0,0.45678344867358706,0.0,1.0,0.0
2,600000000000,1.0,0.383830738177624,0.0,1.0,0.0
3,900000000000,1.0,0.386209630911188,0.0,1.0,0.0
4,1200000000000,1.0,0.331098615916955,0.0,1.0,0.0
5,1500000000000,1.0,0.5411620530565168,0.0,1.0,0.0
6,1800000000000,1.0,0.28708910034602075,0.0,0.9981884057971014,0.0
7,2100000000000,1.0,0.4816897347174164,0.0,1.0,0.0
8,2400000000000,1.0,0.3727652825836217,0.0,1.0,0.0
9,2700000000000,1.0,0.5119305074971164,0.0,0.9981884057971014,0.0
10,3000000000000,1.0,0.43753604382929645,0.0,1.0,0.0
11,3300000000000,1.0,0.41180074971164937,0.0,1.0,0.0
12,3600000000000,1.0,0.3717200115340254,0.0,1.0,0.0
13,3900000000000,1.0,0.36415080738177624,0.0,1.0,0.0
14,4200000000000,1.0,0.37280132641291813,0.0,1.0,0.0
15,4500000000000,1.0,0.4387615340253749,0.0,1.0,0.0
16,4800000000000,1.0,0.3811634948096886,0.0,1.0,0.0
17,5100000000000,1.0,0.5009010957324106,0.0,1.0,0.0
18,5400000000000,1.0,0.37417099192618225,0.0,1.0,0.0
19,5700000000000,1.0,0.37301758938869667,0.0,1.0,0.0
20,6000000000000,1.0,0.3810553633217993,0.0,1.0,0.0
21,6300000000000,1.0,0.48742070357554784,0.0,1.0,0.0
22,6600000000000,1.0,0.276239907727797,0.0,0.9927536231884058,0.0
23,6900000000000,1.0,0.49127739331026526,0.0,1.0,0.0
24,7200000000000,1.0,0.3813437139561707,0.0,1.0,0.0
25,7500000000000,1.0,0.42124423298731256,0.0,0.9981884057971014,0.0
26,7800000000000,1.0,0.4826989619377163,0.0,1.0,0.0
27,8100000000000,1.0,0.3447952710495963,0.0,1.0,0.0
28,8400000000000,1.0,0.4045919838523645,0.0,1.0,0.0
29,8700000000000,1.0,0.42264994232987313,0.0,1.0,0.0
30,9000000000000,1.0,0.34984140715109574,0.0,1.0,0.0
31,9300000000000,1.0,0.5009010957324106,0.0,1.0,0.0
32,9600000000000,1.0,0.42492070357554784,0.0,1.0,0.0
33,9900000000000,1.0,0.44330305651672436,0.0,1.0,0.0
34,10200000000000,1.0,0.3997260668973472,0.0,1.0,0.0
35,10500000000000,1.0,0.40351066897347176,0.0,0.9963768115942029,0.0
36,10800000000000,1.0,0.3472822952710496,0.0,1.0,0.0
37,11100000000000,1.0,0.4707684544405998,0.0,1.0,0.0
38,11400000000000,1.0,0.39954584775086505,0.0,1.0,0.0
39,11700000000000,1.0,0.3458044982698962,0.0,1.0,0.0
40,12000000000000,1.0,0.4154051326412918,0.0,1.0,0.0
41,12300000000000,1.0,0.4885020184544406,0.0,0.9981884057971014,0.0
42,12600000000000,1.0,0.41421568627450983,0.0,1.0,0.0
43,12900000000000,1.0,0.35946510957324107,0.0,1.0,0.0
44,13200000000000,1.0,0.4263264129181084,0.0,1.0,0.0
45,13500000000000,1.0,0.4373558246828143,0.0,0.9927536231884058,0.0
46,13800000000000,1.0,0.3827854671280277,0.0,1.0,0.0
47,14100000000000,1.0,0.482338523644752,0.0,1.0,0.0
48,14400000000000,1.0,0.39096741637831606,0.0,1.0,0.0
49,14700000000000,1.0,0.45573817762399077,0.0,1.0,0.0
50,15000000000000,1.0,0.3899221453287197,0.0,1.0,0.0
51,15300000000000,1.0,0.484969723183391,0.0,0.9963768115942029,0.0
52,15600000000000,1.0,0.40707900807381775,0.0,1.0,0.0
53,15900000000000,1.0,0.4387975778546713,0.0,1.0,0.0
54,16200000000000,1.0,0.3729455017301038,0.0,1.0,0.0
55,16500000000000,1.0,0.3995818915801615,0.0,1.0,0.0
56,16800000000000,1.0,0.44820501730103807,0.0,1.0,0.0
57,17100000000000,1.0,0.4569636678200692,0.0,0.9927536231884058,0.0
58,17400000000000,1.0,0.3325764129181084,0.0,1.0,0.0
59,17700000000000,1.0,0.41320645905420994,0.0,1.0,0.0
60,18000000000000,1.0,0.38033448673587084,0.0,1.0,0.0
61,18300000000000,1.0,0.41396337946943484,0.0,0.9981884057971014,0.0
62,18600000000000,1.0,0.38985005767012687,0.0,1.0,0.0
63,18900000000000,1.0,0.42492070357554784,0.0,1.0,0.0
64,19200000000000,1.0,0.35070645905420994,0.0,1.0,0.0
65,19500000000000,1.0,0.40606978085351786,0.0,1.0,0.0
66,19800000000000,1.0,0.4483852364475202,0.0,1.0,0.0
67,20100000000000,1.0,0.48742070357554784,0.0,0.9963768115942029,0.0
68,20400000000000,1.0,0.4361303344867359,0.0,1.0,0.0
69,20700000000000,1.0,0.3899221453287197,0.0,1.0,0.0
70,21000000000000,1.0,0.3864258938869666,0.0,1.0,0.0
71,21300000000000,1.0,0.43227364475201846,0.0,1.0,0.0
