time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,4.0,8.0,4.312283737024221,4.0,6.0,1156,1.0,7.0,1.3104146616002665,1.0,2.4193277310924355,552,0.9999999999999997,8.052559431315737,1.4277494769135202,1.160648059053203,2.612215076853261,552,1376.7206594347954
1,300000000000,4.0,8.0,4.314878892733564,4.0,6.0,1156,1.0,6.0,1.3608852698720755,1.0,2.808181818181817,552,0.9999999999999998,6.844869507647313,1.4835861117308409,1.1657049784711613,2.9619343811816425,552,1386.2512037158012
2,600000000000,4.0,8.0,4.311418685121107,4.0,6.0,1156,1.0,5.666666666666667,1.4837490425148168,1.0,3.0,552,0.9999999999999999,6.33926561574953,1.6363350530231318,1.1935094248548714,3.226149600252425,552,1351.016789674759
3,900000000000,4.0,8.0,4.305363321799308,4.0,6.0,1156,1.0,7.0,1.4480138578943824,1.0,3.1899999999999986,552,0.9999999999999998,8.12904590036059,1.5682487234072866,1.1727769619849058,3.4359262671598754,552,1344.1490307450294
4,1200000000000,4.0,8.0,4.31401384083045,4.0,6.0,1156,1.0,6.0,1.4718086186800565,1.064516129032258,3.0,552,0.9999999999999998,7.964092858812114,1.6675375103986951,1.1813940511821996,3.5750623500507643,552,1345.4084321856499
5,1500000000000,4.0,8.0,4.310553633217993,4.0,6.0,1156,1.0,8.0,1.539019535881591,1.1333333333333333,3.3333333333333335,552,0.9999999999999998,8.818626027455023,1.7185645328765364,1.2864004412156977,3.5839069975840427,552,1346.8588069081306
6,1800000000000,4.0,8.0,4.313148788927336,4.0,6.0,1156,1.0,6.2,1.4083671585193378,1.0,3.0,552,0.9999999999999997,7.678160770757904,1.597888475386546,1.1716766178124312,3.3878172256825434,552,1338.1414413452148
7,2100000000000,4.0,8.0,4.312283737024221,4.0,6.0,1156,1.0,5.0,1.3353451263103844,1.0,3.0,552,0.9999999999999998,5.567049579753962,1.486618127000891,1.153655679132733,3.207106435850694,552,1348.3051657676697
8,2400000000000,4.0,8.0,4.311418685121107,4.0,6.0,1156,1.0,6.0,1.2223122981565808,1.0,2.191071428571421,552,0.9999999999999997,7.155982364611552,1.3334990296424418,1.1237446046846864,2.3685351378383195,552,1360.598050057888
9,2700000000000,4.0,8.0,4.301038062283737,4.0,6.0,1156,1.0,7.0,1.4516419151517923,1.0,3.1818181818181817,552,0.9999999999999998,8.164162070788484,1.597240391595268,1.187164282523562,3.436767539841373,552,1340.015321969986
