time_index,time_since_epoch_ns,gs_handover_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate
1,300000000000,1.0,0.08759469696969698,0.0,1.0,0.0
2,600000000000,1.0,0.17626788720538722,0.0,1.0,0.0
3,900000000000,1.0,0.1629050925925926,0.0,1.0,0.0
4,1200000000000,1.0,0.09143518518518519,0.0,1.0,0.0
5,1500000000000,1.0,0.11218960437710437,0.0,1.0,0.0
6,1800000000000,1.0,0.11063762626262626,0.0,1.0,0.0
7,2100000000000,1.0,0.1608270202020202,0.0,1.0,0.0
8,2400000000000,1.0,0.10713909932659933,0.0,1.0,0.0
9,2700000000000,1.0,0.14775357744107745,0.0,1.0,0.0
10,3000000000000,1.0,0.14564920033670034,0.0,0.9981884057971014,0.0
11,3300000000000,1.0,0.05213594276094276,0.0,1.0,0.0
12,3600000000000,1.0,0.07970328282828283,0.0,1.0,0.0
13,3900000000000,1.0,0.0878577441077441,0.0,1.0,0.0
14,4200000000000,1.0,0.09901094276094276,0.0,1.0,0.0
15,4500000000000,1.0,0.18400147306397308,0.0,1.0,0.0
16,4800000000000,1.0,0.15538194444444445,0.0,1.0,0.0
17,5100000000000,1.0,0.1438341750841751,0.0,0.9945652173913043,0.0
18,5400000000000,1.0,0.04437605218855219,0.0,1.0,0.0
19,5700000000000,1.0,0.1080334595959596,0.0,0.9981884057971014,0.0
20,6000000000000,1.0,0.1065077861952862,0.0,0.9963768115942029,0.0
21,6300000000000,1.0,0.11000631313131314,0.0,1.0,0.0
22,6600000000000,1.0,0.1229219276094276,0.0,1.0,0.0
23,6900000000000,1.0,0.1421506734006734,0.0,1.0,0.0
24,7200000000000,1.0,0.041193181818181816,0.0,1.0,0.0
25,7500000000000,1.0,0.10648148148148148,0.0,1.0,0.0
26,7800000000000,1.0,0.08080808080808081,0.0,1.0,0.0
27,8100000000000,1.0,0.09522306397306397,0.0,1.0,0.0
28,8400000000000,1.0,0.12555239898989898,0.0,1.0,0.0
29,8700000000000,1.0,0.10453493265993266,0.0,1.0,0.0
30,9000000000000,1.0,0.1087962962962963,0.0,0.9981884057971014,0.0
31,9300000000000,1.0,0.10750736531986532,0.0,1.0,0.0
32,9600000000000,1.0,0.0899358164983165,0.0,1.0,0.0
33,9900000000000,1.0,0.11218960437710437,0.0,1.0,0.0
34,10200000000000,1.0,0.15351430976430977,0.0,1.0,0.0
35,10500000000000,1.0,0.09143518518518519,0.0,1.0,0.0
36,10800000000000,1.0,0.15309343434343434,0.0,1.0,0.0
37,11100000000000,1.0,0.02701494107744108,0.0,1.0,0.0
38,11400000000000,1.0,0.11289983164983165,0.0,1.0,0.0
39,11700000000000,1.0,0.09064604377104377,0.0,1.0,0.0
40,12000000000000,1.0,0.1425189393939394,0.0,1.0,0.0
41,12300000000000,1.0,0.14015151515151514,0.0,1.0,0.0
42,12600000000000,1.0,0.1611952861952862,0.0,1.0,0.0
43,12900000000000,1.0,0.08564814814814815,0.0,1.0,0.0
44,13200000000000,1.0,0.06731376262626262,0.0,1.0,0.0
45,13500000000000,1.0,0.1908933080808081,0.0,0.9963768115942029,0.0
46,13800000000000,1.0,0.057686237373737376,0.0,1.0,0.0
47,14100000000000,1.0,0.1383364898989899,0.0,1.0,0.0
48,14400000000000,1.0,0.11355744949494949,0.0,0.9981884057971014,0.0
49,14700000000000,1.0,0.09353956228956228,0.0,1.0,0.0
50,15000000000000,1.0,0.08764730639730639,0.0,1.0,0.0
51,15300000000000,1.0,0.08793665824915825,0.0,1.0,0.0
52,15600000000000,1.0,0.10840172558922559,0.0,1.0,0.0
53,15900000000000,1.0,0.09522306397306397,0.0,1.0,0.0
54,16200000000000,1.0,0.19141940235690236,0.0,1.0,0.0
55,16500000000000,1.0,0.15498737373737373,0.0,0.9981884057971014,0.0
56,16800000000000,1.0,0.027435816498316497,0.0,1.0,0.0
57,17100000000000,1.0,0.1118476430976431,0.0,1.0,0.0
58,17400000000000,1.0,0.14041456228956228,0.0,1.0,0.0
59,17700000000000,1.0,0.07759890572390572,0.0,1.0,0.0
60,18000000000000,1.0,0.09690656565656566,0.0,1.0,0.0
61,18300000000000,1.0,0.1270780723905724,0.0,0.9963768115942029,0.0
62,18600000000000,1.0,0.08780513468013468,0.0,1.0,0.0
63,18900000000000,1.0,0.12928766835016836,0.0,1.0,0.0
64,19200000000000,1.0,0.11676662457912458,0.0,1.0,0.0
65,19500000000000,1.0,0.12568392255892255,0.0,1.0,0.0
66,19800000000000,1.0,0.046480429292929296,0.0,1.0,0.0
67,20100000000000,1.0,0.21177925084175084,0.0,0.9981884057971014,0.0
68,20400000000000,1.0,0.10458754208754209,0.0,1.0,0.0
69,20700000000000,1.0,0.0645780723905724,0.0,1.0,0.0
70,21000000000000,1.0,0.06163194444444445,0.0,0.9981884057971014,0.0
71,21300000000000,1.0,0.1310763888888889,0.0,1.0,0.0
