time_index,time_since_epoch_ns,gs_handover_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate
1,300000000000,1.0,0.5007122507122507,0.0,0.9963768115942029,0.0
2,600000000000,1.0,0.3181386514719848,0.0,0.9945652173913043,0.0
3,900000000000,1.0,0.5401234567901234,0.0,0.9963768115942029,0.0
4,1200000000000,1.0,0.4190408357075024,0.0,0.9963768115942029,0.0
5,1500000000000,1.0,0.39138176638176636,0.0,0.9891304347826086,0.0
6,1800000000000,1.0,0.3854463437796771,0.0,0.9963768115942029,0.0
7,2100000000000,1.0,0.40610161443494774,0.0,0.9981884057971014,0.0
8,2400000000000,1.0,0.376661918328585,0.0,0.9927536231884058,0.0
9,2700000000000,1.0,0.4845679012345679,0.0,0.9945652173913043,0.0
10,3000000000000,1.0,0.38603988603988604,0.0,1.0,0.0
11,3300000000000,1.0,0.43874643874643876,0.0,0.9945652173913043,0.0
12,3600000000000,1.0,0.28763057929724595,0.0,0.9945652173913043,0.0
13,3900000000000,1.0,0.4400522317188984,0.0,0.9909420289855072,0.0
14,4200000000000,1.0,0.3814102564102564,0.0,0.9963768115942029,0.0
15,4500000000000,1.0,0.48504273504273504,0.0,0.9963768115942029,0.0
16,4800000000000,1.0,0.3563627730294397,0.0,0.9963768115942029,0.0
17,5100000000000,1.0,0.5002374169040835,0.0,0.9927536231884058,0.0
18,5400000000000,0.9583333333333334,0.3613485280151947,0.0,0.9692028985507246,0.0
19,5700000000000,1.0,0.4230769230769231,0.0,0.9963768115942029,0.0
20,6000000000000,1.0,0.3823599240265907,0.0,0.9963768115942029,0.0
21,6300000000000,1.0,0.4984567901234568,0.0,0.9927536231884058,0.0
22,6600000000000,1.0,0.404320987654321,0.0,0.9963768115942029,0.0
23,6900000000000,1.0,0.4398148148148148,0.0,0.9945652173913043,0.0
24,7200000000000,1.0,0.3611111111111111,0.0,0.9927536231884058,0.0
25,7500000000000,1.0,0.40147198480531815,0.0,0.9963768115942029,0.0
26,7800000000000,1.0,0.45334757834757833,0.0,0.9963768115942029,0.0
27,8100000000000,1.0,0.4374406457739791,0.0,0.9927536231884058,0.0
28,8400000000000,1.0,0.38188509021842354,0.0,0.9909420289855072,0.0
29,8700000000000,1.0,0.3922127255460589,0.0,1.0,0.0
30,9000000000000,1.0,0.40716999050332386,0.0,0.9963768115942029,0.0
31,9300000000000,1.0,0.39090693257359926,0.0,0.9963768115942029,0.0
32,9600000000000,1.0,0.45168566001899335,0.0,0.9963768115942029,0.0
33,9900000000000,1.0,0.35802469135802467,0.0,0.9963768115942029,0.0
34,10200000000000,1.0,0.4385090218423552,0.0,0.9945652173913043,0.0
35,10500000000000,1.0,0.4684235517568851,0.0,1.0,0.0
36,10800000000000,1.0,0.3093542260208927,0.0,0.9873188405797102,0.0
37,11100000000000,1.0,0.3841405508072175,0.0,0.9963768115942029,0.0
38,11400000000000,1.0,0.40147198480531815,0.0,0.9945652173913043,0.0
39,11700000000000,1.0,0.38259734093067427,0.0,0.9873188405797102,0.0
40,12000000000000,1.0,0.4660493827160494,0.0,0.9981884057971014,0.0
41,12300000000000,1.0,0.36479107312440645,0.0,0.9981884057971014,0.0
42,12600000000000,1.0,0.4158357075023742,0.0,0.9981884057971014,0.0
43,12900000000000,1.0,0.42711301044634375,0.0,0.9963768115942029,0.0
44,13200000000000,1.0,0.4617758784425451,0.0,0.9981884057971014,0.0
45,13500000000000,1.0,0.3395061728395062,0.0,0.9945652173913043,0.0
46,13800000000000,1.0,0.4310303893637227,0.0,0.9963768115942029,0.0
47,14100000000000,1.0,0.40111585944919276,0.0,0.9927536231884058,0.0
48,14400000000000,1.0,0.45987654320987653,0.0,0.9927536231884058,0.0
49,14700000000000,1.0,0.41500474833808165,0.0,0.9963768115942029,0.0
50,15000000000000,1.0,0.4045584045584046,0.0,0.9963768115942029,0.0
51,15300000000000,1.0,0.37701804368471037,0.0,0.9963768115942029,0.0
52,15600000000000,1.0,0.44598765432098764,0.0,0.9963768115942029,0.0
53,15900000000000,1.0,0.3903133903133903,0.0,0.9963768115942029,0.0
54,16200000000000,1.0,0.45987654320987653,0.0,0.9981884057971014,0.0
55,16500000000000,1.0,0.35802469135802467,0.0,1.0,0.0
56,16800000000000,1.0,0.35113960113960113,0.0,0.9945652173913043,0.0
57,17100000000000,1.0,0.431980056980057,0.0,0.9963768115942029,0.0
58,17400000000000,1.0,0.5295584045584045,0.0,0.9927536231884058,0.0
59,17700000000000,1.0,0.3457977207977208,0.0,0.9927536231884058,0.0
60,18000000000000,1.0,0.4500237416904084,0.0,0.9927536231884058,0.0
61,18300000000000,1.0,0.4208214624881291,0.0,0.9963768115942029,0.0
62,18600000000000,1.0,0.36811490978157646,0.0,0.9945652173913043,0.0
63,18900000000000,1.0,0.42972459639126304,0.0,0.9963768115942029,0.0
64,19200000000000,1.0,0.4819563152896486,0.0,0.9963768115942029,0.0
65,19500000000000,1.0,0.3150522317188984,0.0,0.9945652173913043,0.0
66,19800000000000,1.0,0.4131054131054131,0.0,0.9945652173913043,0.0
67,20100000000000,1.0,0.4160731244064577,0.0,1.0,0.0
68,20400000000000,1.0,0.42272079772079774,0.0,0.9945652173913043,0.0
69,20700000000000,1.0,0.5017806267806267,0.0,0.9963768115942029,0.0
70,21000000000000,1.0,0.34912155745489076,0.0,0.9927536231884058,0.0
71,21300000000000,1.0,0.47269705603038936,0.0,0.9891304347826086,0.0
