time_index,time_since_epoch_ns,gs_handover_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate
1,300000000000,1.0,0.0016940599769319493,0.04656862745098039,0.0,0.050724637681159424
2,600000000000,1.0,0.0020544982698961936,0.0392156862745098,0.0,0.06521739130434782
3,900000000000,1.0,0.002018454440599769,0.0392156862745098,0.007246376811594203,0.050724637681159424
4,1200000000000,1.0,0.0008650519031141869,0.0392156862745098,0.0,0.05434782608695652
5,1500000000000,1.0,0.00043252595155709344,0.049019607843137254,0.0,0.06159420289855073
6,1800000000000,1.0,0.0020544982698961936,0.03676470588235294,0.0036231884057971015,0.043478260869565216
7,2100000000000,1.0,0.0019103229527104959,0.041666666666666664,0.0036231884057971015,0.028985507246376812
8,2400000000000,1.0,0.004253171856978086,0.0392156862745098,0.0018115942028985507,0.043478260869565216
9,2700000000000,1.0,0.0005406574394463668,0.04656862745098039,0.0,0.04710144927536232
10,3000000000000,1.0,0.0018742791234140715,0.041666666666666664,0.0036231884057971015,0.03260869565217391
11,3300000000000,1.0,0.0008290080738177625,0.041666666666666664,0.0,0.057971014492753624
12,3600000000000,1.0,0.0010092272202998846,0.03676470588235294,0.007246376811594203,0.04710144927536232
13,3900000000000,1.0,0.002018454440599769,0.0392156862745098,0.005434782608695652,0.025362318840579712
14,4200000000000,1.0,0.0010813148788927337,0.03676470588235294,0.0036231884057971015,0.025362318840579712
15,4500000000000,1.0,0.0007569204152249135,0.041666666666666664,0.0036231884057971015,0.028985507246376812
16,4800000000000,1.0,0.0007569204152249135,0.041666666666666664,0.0,0.03260869565217391
17,5100000000000,1.0,0.0005767012687427913,0.04656862745098039,0.0,0.036231884057971016
18,5400000000000,1.0,0.002126585928489043,0.03676470588235294,0.0,0.06159420289855073
19,5700000000000,1.0,0.001117358708189158,0.03431372549019608,0.007246376811594203,0.043478260869565216
20,6000000000000,1.0,0.0007929642445213379,0.041666666666666664,0.0,0.036231884057971016
21,6300000000000,1.0,0.001658016147635525,0.04656862745098039,0.0,0.05434782608695652
22,6600000000000,1.0,0.0021986735870818917,0.03431372549019608,0.007246376811594203,0.03260869565217391
23,6900000000000,1.0,0.0017661476355247982,0.04411764705882353,0.0018115942028985507,0.03260869565217391
24,7200000000000,1.0,0.0008650519031141869,0.0392156862745098,0.0036231884057971015,0.050724637681159424
25,7500000000000,1.0,0.0005406574394463668,0.04656862745098039,0.0,0.06159420289855073
26,7800000000000,1.0,0.0006487889273356401,0.04411764705882353,0.0036231884057971015,0.03985507246376811
27,8100000000000,1.0,0.0032439446366782005,0.03676470588235294,0.0,0.04710144927536232
28,8400000000000,1.0,0.0009371395617070357,0.0392156862745098,0.010869565217391304,0.025362318840579712
29,8700000000000,1.0,0.0028835063437139563,0.04411764705882353,0.0018115942028985507,0.03985507246376811
30,9000000000000,1.0,0.0010813148788927337,0.03431372549019608,0.0,0.043478260869565216
31,9300000000000,1.0,0.0005767012687427913,0.04656862745098039,0.0,0.04710144927536232
32,9600000000000,1.0,0.0005767012687427913,0.04656862745098039,0.0036231884057971015,0.03260869565217391
33,9900000000000,1.0,0.0005767012687427913,0.04656862745098039,0.0,0.036231884057971016
34,10200000000000,1.0,0.0009010957324106113,0.0392156862745098,0.0,0.06159420289855073
35,10500000000000,1.0,0.0009371395617070357,0.03676470588235294,0.0036231884057971015,0.043478260869565216
36,10800000000000,1.0,0.0010813148788927337,0.03676470588235294,0.0036231884057971015,0.050724637681159424
37,11100000000000,1.0,0.0009010957324106113,0.0392156862745098,0.0,0.06884057971014493
38,11400000000000,1.0,0.0007929642445213379,0.041666666666666664,0.0,0.05434782608695652
39,11700000000000,1.0,0.0009371395617070357,0.0392156862745098,0.0,0.05434782608695652
40,12000000000000,1.0,0.0007208765859284891,0.041666666666666664,0.0036231884057971015,0.05434782608695652
41,12300000000000,1.0,0.00046856978085351786,0.049019607843137254,0.0,0.050724637681159424
42,12600000000000,1.0,0.0019463667820069203,0.041666666666666664,0.0036231884057971015,0.036231884057971016
43,12900000000000,1.0,0.0009731833910034602,0.03676470588235294,0.0,0.043478260869565216
44,13200000000000,1.0,0.0006487889273356401,0.04411764705882353,0.0,0.04710144927536232
45,13500000000000,1.0,0.0006487889273356401,0.04411764705882353,0.0036231884057971015,0.05434782608695652
46,13800000000000,1.0,0.0010092272202998846,0.03676470588235294,0.0,0.057971014492753624
47,14100000000000,1.0,0.00043252595155709344,0.049019607843137254,0.0,0.06159420289855073
48,14400000000000,1.0,0.0007929642445213379,0.041666666666666664,0.0,0.05434782608695652
49,14700000000000,1.0,0.0028835063437139563,0.04411764705882353,0.0,0.043478260869565216
50,15000000000000,1.0,0.0009371395617070357,0.0392156862745098,0.0,0.06159420289855073
